date,station_id,precip_mm,mflag,qflag,sflag,excluded
1991-01-16,USC00417704,0.0,,,0,False
1991-01-16,USC00418081,0.8,,,0,False
1991-01-16,USC00419007,0.0,,,0,False
1991-01-16,USC00419559,,P,,0,True
1991-01-16,USC00419717,18.0,,,0,False
1991-01-16,USW00012924,0.0,,,0,False
1991-01-16,USW00012926,0.0,,,X,False
1991-01-16,USW00012928,0.0,,,X,False
1991-01-17,USC00410639,,P,,0,True
1991-01-17,USC00410690,,P,,0,True
1991-01-17,USC00411337,,P,,0,True
1991-01-17,USC00411720,0.0,,,0,False
1991-01-17,USC00413063,0.0,,,0,False
1991-01-17,USC00413341,,P,,0,True
1991-01-17,USC00413508,,P,,0,True
1991-01-17,USC00414810,,P,,0,True
1991-01-17,USC00415661,,P,,0,True
1991-01-17,USC00417677,,P,,0,True
1991-01-17,USC00417704,0.0,,,0,False
1991-01-17,USC00418081,,P,,0,True
1991-01-17,USC00419007,0.0,T,,0,False
1991-01-17,USC00419559,2.3,,,0,False
1991-01-17,USC00419717,12.7,,,0,False
1991-01-17,USW00012924,1.5,,,0,False
1991-01-17,USW00012926,0.8,,,X,False
1991-01-17,USW00012928,1.3,,,X,False
1991-01-18,USC00410639,30.7,,,0,False
1991-01-18,USC00410690,,P,,0,True
1991-01-18,USC00411337,19.1,,,0,False
1991-01-18,USC00411720,32.5,,,0,False
1991-01-18,USC00413063,0.0,,,0,False
1991-01-18,USC00413341,,P,,0,True
1991-01-18,USC00413508,11.4,,,0,False
1991-01-18,USC00414810,,P,,0,True
1991-01-18,USC00415661,1.0,,,0,False
1991-01-18,USC00417677,3.8,,,0,False
1991-01-18,USC00417704,36.8,,,0,False
1991-01-18,USC00418081,0.3,,,0,False
1991-01-18,USC00419007,33.8,,,0,False
1991-01-18,USC00419559,5.1,,,0,False
1991-01-18,USC00419717,0.0,,,0,False
1991-01-18,USW00012924,1.8,,,0,False
1991-01-18,USW00012926,11.7,,,X,False
1991-01-18,USW00012928,0.0,T,,X,False
1991-01-19,USC00410639,1.0,,,0,False
1991-01-19,USC00410690,,P,,0,True
1991-01-19,USC00411337,,P,,0,True
1991-01-19,USC00411720,1.3,,,0,False
1991-01-19,USC00413063,0.0,,,0,False
1991-01-19,USC00413341,,P,,0,True
1991-01-19,USC00413508,1.3,,,0,False
1991-01-19,USC00414810,,P,,0,True
1991-01-19,USC00415661,8.4,,,0,False
1991-01-19,USC00417677,0.0,,,0,False
1991-01-19,USC00417704,0.0,,,0,False
1991-01-19,USC00418081,0.5,,,0,False
1991-01-19,USC00419007,0.0,,,0,False
1991-01-19,USC00419559,,P,,0,True
1991-01-19,USC00419717,0.0,,,0,False
1991-01-19,USW00012924,0.0,,,0,False
1991-01-19,USW00012926,0.0,,,X,False
